Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Match Report
2021-08-22,18:30,Serie A,Matchweek 1,Sun,Away,D,2,2,Udinese,13,9,7,4,2,2,6,33.3,4,55,13,23.6,24,19,12,9,2,0,7,13,,19,2,Match Report
2021-08-28,20:45,Serie A,Matchweek 2,Sat,Home,L,0,1,Empoli,14,7,8,5,1,3,8,37.5,5,144,47,32.6,55,58,31,18,5,0,13,17,,39,0,Match Report
2021-09-11,18:00,Serie A,Matchweek 3,Sat,Away,L,1,2,Napoli,12,7,11,1,0,3,8,37.5,5,203,47,23.2,116,61,26,22,11,0,11,12,,24,2,Match Report
2021-09-14,21:00,Champions Lg,Group stage,Tue,Away,W,3,0,se Malmö,19,11,11,3,5,5,12,41.7,7,126,32,25.4,45,43,38,12,2,0,10,8,,10,0,Match Report
2021-09-19,20:45,Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,16,5,7,8,1,8,17,47.1,9,112,36,32.1,38,58,16,15,4,0,11,12,,18,0,Match Report
2021-09-22,18:30,Serie A,Matchweek 5,Wed,Away,W,3,2,Spezia,24,17,11,10,3,5,12,41.7,7,105,41,39.0,31,47,27,15,6,1,9,13,,16,0,Match Report
2021-09-26,12:30,Serie A,Matchweek 6,Sun,Home,W,3,2,Sampdoria,12,9,8,4,0,2,10,20.0,8,107,34,31.8,38,51,18,11,1,0,10,18,,19,0,Match Report
2021-09-29,21:00,Champions Lg,Group stage,Wed,Home,W,1,0,eng Chelsea,17,14,12,4,1,6,16,37.5,10,232,52,22.4,121,89,22,20,9,0,11,16,,25,0,Match Report
2021-10-02,18:00,Serie A,Matchweek 7,Sat,Away,W,1,0,Torino,9,5,4,4,1,2,9,22.2,7,115,44,38.3,49,43,23,16,3,0,13,10,,22,0,Match Report
2021-10-17,20:45,Serie A,Matchweek 8,Sun,Home,W,1,0,Roma,21,14,10,6,5,8,21,38.1,13,150,41,27.3,61,56,33,14,5,0,9,12,,29,0,Match Report
