Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
2021-08-22,18:30,Serie A,Matchweek 1,Sun,Away,D,2,2,Udinese,5,2,4,80.0,0,2.1,+0.1,1,1,0,0,2,4,50.0,29,6,10.3,26.5,5,20.0,23.4,12,0,0.0,0,10.1,Match Report
2021-08-28,20:45,Serie A,Matchweek 2,Sat,Home,L,0,1,Empoli,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,4,4,100.0,12,5,16.7,28.8,7,28.6,24.9,11,0,0.0,1,17.2,Match Report
2021-09-11,18:00,Serie A,Matchweek 3,Sat,Away,L,1,2,Napoli,7,2,5,71.4,0,2.5,+0.5,0,0,0,0,2,6,33.3,12,3,33.3,32.9,11,18.2,31.7,12,0,0.0,0,9.5,Match Report
2021-09-14,21:00,Champions Lg,Group stage,Tue,Away,W,3,0,se Malmö,1,0,1,100.0,1,0.0,0.0,0,0,0,0,4,8,50.0,19,5,31.6,32.2,7,28.6,27.9,5,1,20.0,0,11.0,Match Report
2021-09-19,20:45,Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,9,15,60.0,20,6,60.0,43.7,9,33.3,35.8,12,2,16.7,1,8.7,Match Report
2021-09-22,18:30,Serie A,Matchweek 5,Wed,Away,W,3,2,Spezia,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,5,10,50.0,20,2,40.0,37.5,6,33.3,32.8,7,0,0.0,0,11.0,Match Report
2021-09-26,12:30,Serie A,Matchweek 6,Sun,Home,W,3,2,Sampdoria,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,3,14,21.4,23,3,60.9,48.0,7,0.0,15.1,8,1,12.5,0,7.8,Match Report
2021-09-29,21:00,Champions Lg,Group stage,Wed,Home,W,1,0,eng Chelsea,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,5,13,38.5,26,8,38.5,40.3,10,30.0,30.6,19,2,10.5,0,10.8,Match Report
2021-10-02,18:00,Serie A,Matchweek 7,Sat,Away,W,1,0,Torino,2,0,2,100.0,1,0.0,0.0,0,0,0,0,9,19,47.4,31,6,58.1,41.5,6,16.7,18.0,8,1,12.5,1,18.2,Match Report
2021-10-17,20:45,Serie A,Matchweek 8,Sun,Home,W,1,0,Roma,3,0,3,100.0,1,1.0,+1.0,1,0,1,0,5,13,38.5,23,3,34.8,33.9,7,71.4,44.9,12,1,8.3,0,12.5,Match Report
2021-10-20,22:00 (21:00),Champions Lg,Group stage,Wed,Away,W,1,0,ru Zenit,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,7,11,63.6,18,2,50.0,40.6,4,50.0,42.8,6,0,0.0,0,11.3,Match Report
2021-10-24,20:45,Serie A,Matchweek 9,Sun,Away,D,1,1,Inter,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,2,4,50.0,20,2,20.0,32.4,5,0.0,24.0,12,0,0.0,0,20.0,Match Report
2021-10-27,18:30,Serie A,Matchweek 10,Wed,Home,L,1,2,Sassuolo,4,2,2,50.0,0,2.1,+0.1,0,0,0,0,0,0,,19,5,0.0,19.9,4,0.0,19.5,4,0,0.0,0,11.5,Match Report
2021-10-30,18:00,Serie A,Matchweek 11,Sat,Away,L,1,2,Hellas Verona,5,2,3,60.0,0,1.6,-0.4,0,0,0,0,9,16,56.3,40,8,32.5,33.8,4,75.0,50.0,3,0,0.0,0,11.0,Match Report
2021-11-02,21:00 (22:00),Champions Lg,Group stage,Tue,Home,W,4,2,ru Zenit,4,2,3,50.0,0,1.8,+0.8,0,0,0,0,2,3,66.7,20,7,10.0,30.2,8,12.5,17.9,7,0,0.0,0,7.8,Match Report
2021-11-06,18:00 (19:00),Serie A,Matchweek 12,Sat,Home,W,1,0,Fiorentina,1,0,1,100.0,1,0.5,+0.5,0,0,0,0,7,11,63.6,22,0,36.4,39.4,10,30.0,30.4,13,1,7.7,0,,Match Report
2021-11-20,18:00 (19:00),Serie A,Matchweek 13,Sat,Away,W,2,0,Lazio,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,6,8,75.0,33,6,21.2,28.7,6,16.7,28.0,15,0,0.0,1,14.0,Match Report
2021-11-23,20:00 (22:00),Champions Lg,Group stage,Tue,Away,L,0,4,eng Chelsea,8,4,4,50.0,0,3.9,-0.1,0,0,0,0,2,3,66.7,20,2,15.0,28.4,7,0.0,15.3,4,0,0.0,0,10.0,Match Report
2021-11-27,18:00 (19:00),Serie A,Matchweek 14,Sat,Home,L,0,1,Atalanta,1,1,0,0.0,0,0.8,-0.2,0,0,0,0,4,11,36.4,30,5,36.7,34.1,2,0.0,11.5,2,0,0.0,0,11.8,Match Report
2021-11-30,20:45 (21:45),Serie A,Matchweek 15,Tue,Away,W,2,0,Salernitana,0,0,0,,1,0.0,0.0,0,0,0,0,2,2,100.0,16,1,12.5,26.0,4,0.0,19.0,9,1,11.1,0,,Match Report
2021-12-05,20:45 (21:45),Serie A,Matchweek 16,Sun,Home,W,2,0,Genoa,0,0,0,,1,0.0,0.0,0,0,0,0,2,3,66.7,24,4,12.5,26.3,0,,,1,0,0.0,1,14.0,Match Report
2021-12-08,18:45 (19:45),Champions Lg,Group stage,Wed,Home,W,1,0,se Malmö,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,4,8,50.0,19,3,36.8,31.7,3,33.3,29.3,3,0,0.0,0,13.5,Match Report
2021-12-11,18:00 (19:00),Serie A,Matchweek 17,Sat,Away,D,1,1,Venezia,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,3,6,50.0,22,9,22.7,27.8,5,20.0,20.8,8,2,25.0,1,16.2,Match Report
2021-12-18,18:00 (19:00),Serie A,Matchweek 18,Sat,Away,W,2,0,Bologna,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,5,13,38.5,22,5,50.0,41.3,6,33.3,36.7,12,0,0.0,0,11.1,Match Report
2021-12-21,20:45 (21:45),Serie A,Matchweek 19,Tue,Home,W,2,0,Cagliari,1,0,1,100.0,1,0.5,+0.5,0,0,0,0,5,8,62.5,26,2,23.1,33.3,4,50.0,30.8,11,0,0.0,1,21.5,Match Report
