Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2021-08-22,18:30,Serie A,Matchweek 1,Sun,Away,D,2,2,Udinese,3,0,0,16,13,3,7,13,9,0,1,0,57,7,11,38.9,Match Report
2021-08-28,20:45,Serie A,Matchweek 2,Sat,Home,L,0,1,Empoli,2,0,0,15,8,1,27,17,7,0,0,0,82,16,14,53.3,Match Report
2021-09-11,18:00,Serie A,Matchweek 3,Sat,Away,L,1,2,Napoli,1,0,0,16,15,3,7,12,7,0,0,0,50,9,13,40.9,Match Report
2021-09-14,21:00,Champions Lg,Group stage,Tue,Away,W,3,0,se Malmö,1,0,0,13,16,4,11,8,11,1,0,0,71,8,7,53.3,Match Report
2021-09-19,20:45,Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,1,0,0,15,16,3,5,12,5,0,0,0,72,3,11,21.4,Match Report
2021-09-22,18:30,Serie A,Matchweek 5,Wed,Away,W,3,2,Spezia,1,0,0,10,14,0,15,13,17,0,0,0,84,26,6,81.3,Match Report
2021-09-26,12:30,Serie A,Matchweek 6,Sun,Home,W,3,2,Sampdoria,4,0,0,24,16,0,9,18,9,0,0,0,78,10,20,33.3,Match Report
2021-09-29,21:00,Champions Lg,Group stage,Wed,Home,W,1,0,eng Chelsea,1,0,0,9,19,4,2,16,14,0,0,0,67,13,19,40.6,Match Report
2021-10-02,18:00,Serie A,Matchweek 7,Sat,Away,W,1,0,Torino,1,0,0,16,22,0,6,10,5,0,0,0,106,32,22,59.3,Match Report
2021-10-17,20:45,Serie A,Matchweek 8,Sun,Home,W,1,0,Roma,3,0,0,20,15,3,8,12,14,0,1,0,62,16,9,64.0,Match Report
2021-10-20,22:00 (21:00),Champions Lg,Group stage,Wed,Away,W,1,0,ru Zenit,2,0,0,11,11,0,19,7,7,0,0,0,81,10,15,40.0,Match Report
2021-10-24,20:45,Serie A,Matchweek 9,Sun,Away,D,1,1,Inter,2,0,0,19,15,3,11,17,7,1,0,0,67,19,21,47.5,Match Report
2021-10-27,18:30,Serie A,Matchweek 10,Wed,Home,L,1,2,Sassuolo,1,0,0,23,17,8,21,10,10,0,0,0,81,16,5,76.2,Match Report
2021-10-30,18:00,Serie A,Matchweek 11,Sat,Away,L,1,2,Hellas Verona,3,0,0,7,24,0,13,10,11,0,0,0,99,28,23,54.9,Match Report
2021-11-02,21:00 (22:00),Champions Lg,Group stage,Tue,Home,W,4,2,ru Zenit,2,0,0,13,12,2,19,16,9,1,0,1,75,20,12,62.5,Match Report
2021-11-06,18:00 (19:00),Serie A,Matchweek 12,Sat,Home,W,1,0,Fiorentina,2,0,0,17,18,5,11,14,8,0,0,0,78,17,17,50.0,Match Report
2021-11-20,18:00 (19:00),Serie A,Matchweek 13,Sat,Away,W,2,0,Lazio,1,0,0,16,12,0,6,14,11,2,0,0,59,8,11,42.1,Match Report
2021-11-23,20:00 (22:00),Champions Lg,Group stage,Tue,Away,L,0,4,eng Chelsea,1,0,0,15,15,0,2,20,16,0,0,0,70,22,14,61.1,Match Report
