Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Wojciech Szczęsny\01b8a2b2,pl POL,GK,31-351,35.0,0,0,0,0,0,0,0,,0,4,1,25.0,4,0,0,1,0,0,1,0,0,1,2,Matches
Matthijs de Ligt\d6e53a3a,nl NED,DF,22-235,34.2,40,24,22,17,1,14,22,63.6,8,271,106,39.1,141,115,15,51,25,0,26,44,82,140,0,Matches
Juan Cuadrado\0ab1f153,co COL,DFMF,33-313,31.6,56,32,38,15,3,22,45,48.9,23,309,100,32.4,149,116,44,45,6,0,39,50,103,32,0,Matches
Manuel Locatelli\a8a874f1,it ITA,MF,24-086,31.6,58,43,30,18,10,12,40,30.0,28,434,123,28.3,177,205,52,60,28,1,32,46,101,43,0,Matches
Álvaro Morata\129af0db,es ESP,FW,29-163,30.5,21,20,5,8,8,4,24,16.7,20,455,134,29.5,57,180,218,34,3,0,31,15,35,21,0,Matches
Adrien Rabiot\8794e251,fr FRA,MF,27-001,29.2,72,58,44,21,7,14,30,46.7,16,570,195,34.2,233,239,98,50,9,0,41,38,108,28,0,Matches
Alex Sandro\0d82903c,br BRA,DF,31-068,25.3,38,22,23,6,9,11,27,40.7,16,221,71,32.1,103,79,39,28,3,0,25,43,74,36,0,Matches
Leonardo Bonucci\52ec54d0,it ITA,DF,34-338,24.3,18,7,8,10,0,10,16,62.5,6,111,38,34.2,59,46,6,40,24,0,16,43,59,91,1,Matches
Danilo\94b2001f,br BRA,DFMF,30-263,23.7,39,25,24,12,3,16,30,53.3,14,162,53,32.7,84,56,22,28,12,0,16,44,83,71,0,Matches
Paulo Dybala\e0921a4f,ar ARG,FWMF,28-140,22.4,25,16,7,6,12,4,32,12.5,28,271,79,29.2,58,114,99,19,0,0,19,21,45,2,0,Matches
Weston McKennie\01c3aff5,us USA,MF,23-219,21.7,36,25,16,12,8,10,26,38.5,16,349,104,29.8,134,146,69,35,7,0,28,37,71,24,1,Matches
Rodrigo Bentancur\3b8674e6,uy URU,MF,24-303,17.6,49,37,18,24,7,11,32,34.4,21,402,123,30.6,129,190,83,31,7,0,24,45,93,20,0,Matches
Mattia De Sciglio\ae4e2852,it ITA,DF,29-166,17.2,28,18,15,9,4,10,24,41.7,14,144,39,27.1,76,46,22,26,1,0,25,29,54,32,0,Matches
Federico Bernardeschi\ee93c1a9,it ITA,FWMF,28-047,16.4,14,13,4,6,4,5,16,31.3,11,246,75,30.5,74,110,62,20,4,0,16,14,28,6,1,Matches
Arthur Melo\48b3dd60,br BRA,MF,25-235,14.9,26,20,12,12,2,11,32,34.4,21,266,81,30.5,110,117,39,19,3,0,16,19,42,8,1,Matches
Giorgio Chiellini\e85fb9b8,it ITA,DF,37-233,13.8,16,12,10,6,0,6,11,54.5,5,75,30,40.0,54,18,3,24,16,0,8,16,29,57,0,Matches
Federico Chiesa\b0f7e36c,it ITA,MFFW,24-161,13.3,25,18,8,10,7,8,26,30.8,18,196,56,28.6,53,72,71,14,1,0,13,10,35,6,0,Matches
Moise Kean\3d50bcdb,it ITA,FW,22-035,12.3,9,5,4,3,2,3,6,50.0,3,145,39,26.9,19,57,69,4,0,0,4,3,12,4,1,Matches
Daniele Rugani\14b8fcdf,it ITA,DF,27-249,12.0,13,11,5,8,0,3,5,60.0,2,97,37,38.1,50,42,5,16,6,0,10,17,28,28,0,Matches
Dušan Vlahović\79443529,rs SRB,FW,22-066,11.0,0,0,0,0,0,0,3,0.0,3,79,29,36.7,3,31,45,0,0,0,0,0,0,1,0,Matches
Dejan Kulusevski\df3cda47,se SWE,FWMF,21-344,11.0,18,14,10,7,1,7,20,35.0,13,258,65,25.2,77,98,83,12,0,0,12,15,33,3,0,Matches
Luca Pellegrini\3b61c9ec,it ITA,DF,23-028,10.7,23,17,15,5,3,8,12,66.7,4,150,57,38.0,83,34,33,20,1,0,19,11,33,20,0,Matches
Mattia Perin\4c62d0c8,it ITA,GK,29-145,8.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Denis Zakaria\384d58d9,ch SUI,MF,25-135,3.7,5,6,0,5,0,0,2,0.0,2,55,15,27.3,18,31,6,3,1,0,2,7,12,2,0,Matches
Kaio Jorge\0cf465f2,br BRA,MFFW,20-070,1.5,3,2,0,3,0,0,2,0.0,2,24,6,25.0,3,12,9,1,0,0,1,0,3,2,0,Matches
Aaron Ramsey\ef619b0b,wls WAL,MF,31-099,1.3,0,0,0,0,0,0,1,0.0,1,7,0,0.0,3,4,0,1,1,0,0,2,2,1,0,Matches
Koni De Winter\f4797849,be BEL,DF,19-296,0.9,2,1,0,1,1,0,1,0.0,1,12,3,25.0,4,3,5,0,0,0,0,0,2,0,0,Matches
Marley Aké\414e1f69,fr FRA,FW,21-089,0.7,0,0,0,0,0,0,1,0.0,1,3,0,0.0,0,1,2,0,0,0,0,2,1,0,0,Matches
Cristiano Ronaldo\dea698d9,pt POR,FW,37-058,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,Matches
Matìas Soulé\c13ddd3e,ar ARG,FW,18-354,0.1,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
Fabio Miretti\34693494,it ITA,MF,18-244,0.0,2,1,1,1,0,1,2,50.0,1,6,3,50.0,0,5,1,0,0,0,0,0,2,0,0,Matches
Cosimo Marco Da Graca\32f76907,it ITA,FW,19-338,0.0,1,1,0,1,0,0,0,,0,2,1,50.0,1,1,0,1,1,0,0,0,1,0,0,Matches
