Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
Wojciech Szczęsny\01b8a2b2,pl POL,GK,31-351,35.0,1020,772,248,51,0,93,33,0,0,0,0,0,626,44,350,103,742,0,0,147,829,4,21,17,2,Matches
Matthijs de Ligt\d6e53a3a,nl NED,DF,22-235,34.2,1730,1683,47,37,0,135,35,7,0,0,0,0,1412,104,214,363,1232,63,5,11,1554,6,19,19,8,Matches
Juan Cuadrado\0ab1f153,co COL,DFMF,33-313,31.6,1913,1693,220,48,0,150,112,110,60,28,25,1,1320,263,330,209,1530,39,112,7,1613,3,23,56,31,Matches
Manuel Locatelli\a8a874f1,it ITA,MF,24-086,31.6,1709,1640,69,64,9,223,71,14,2,1,1,0,1292,134,283,347,1301,29,2,3,1464,5,31,47,23,Matches
Álvaro Morata\129af0db,es ESP,FW,29-163,30.5,722,700,22,1,4,165,18,32,0,0,0,0,478,152,92,82,565,23,2,14,545,1,10,23,32,Matches
Adrien Rabiot\8794e251,fr FRA,MF,27-001,29.2,1091,1062,29,20,1,192,10,18,0,0,0,0,824,137,130,690,284,57,9,8,912,2,16,24,30,Matches
Alex Sandro\0d82903c,br BRA,DF,31-068,25.3,1275,1115,160,29,0,147,28,55,0,0,0,0,840,229,206,952,116,43,130,7,1070,3,12,36,31,Matches
Leonardo Bonucci\52ec54d0,it ITA,DF,34-338,24.3,1389,1310,79,65,2,99,75,2,0,0,0,0,945,152,292,232,1083,38,2,7,1220,5,13,22,10,Matches
Danilo\94b2001f,br BRA,DFMF,30-263,23.7,1467,1309,158,33,1,107,27,17,0,0,0,0,1054,202,211,120,1167,35,124,7,1280,11,24,25,26,Matches
Paulo Dybala\e0921a4f,ar ARG,FWMF,28-140,22.4,1053,960,93,23,3,153,63,42,35,7,18,1,769,129,155,925,90,19,4,12,868,3,16,39,23,Matches
