Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Wojciech Szczęsny\01b8a2b2,pl POL,GK,31-351,35.0,829,1020,81.3,24042,12643,125,126,99.2,375,381,98.4,324,506,64.0,0,0.1,-0.1,2,2,0,0,0,Matches
Matthijs de Ligt\d6e53a3a,nl NED,DF,22-235,34.2,1554,1730,89.8,33772,9472,413,443,93.2,864,913,94.6,268,355,75.5,0,0.3,-0.3,6,85,4,1,53,Matches
Juan Cuadrado\0ab1f153,co COL,DFMF,33-313,31.6,1613,1913,84.3,33019,10229,613,672,91.2,718,803,89.4,270,398,67.8,2,5.4,-3.4,59,105,46,20,164,Matches
Manuel Locatelli\a8a874f1,it ITA,MF,24-086,31.6,1464,1709,85.7,29682,8919,553,620,89.2,654,725,90.2,241,328,73.5,4,2.3,+0.7,24,150,34,2,148,Matches
Álvaro Morata\129af0db,es ESP,FW,29-163,30.5,545,722,75.5,9134,1499,277,359,77.2,203,243,83.5,48,69,69.6,2,5.7,-3.7,48,31,20,3,46,Matches
Adrien Rabiot\8794e251,fr FRA,MF,27-001,29.2,912,1091,83.6,15558,3618,412,481,85.7,388,439,88.4,88,123,71.5,2,0.8,+1.2,13,62,15,3,66,Matches
Alex Sandro\0d82903c,br BRA,DF,31-068,25.3,1070,1275,83.9,20579,6993,404,460,87.8,519,577,89.9,131,195,67.2,0,1.3,-1.3,22,63,30,13,87,Matches
Leonardo Bonucci\52ec54d0,it ITA,DF,34-338,24.3,1220,1389,87.8,31166,11519,230,250,92.0,634,671,94.5,344,446,77.1,0,0.5,-0.5,5,93,5,0,71,Matches
Danilo\94b2001f,br BRA,DFMF,30-263,23.7,1280,1467,87.3,25498,8858,438,469,93.4,654,713,91.7,176,257,68.5,2,0.8,+1.2,13,134,13,4,90,Matches
Paulo Dybala\e0921a4f,ar ARG,FWMF,28-140,22.4,868,1053,82.4,16371,3298,414,479,86.4,313,362,86.5,130,180,72.2,6,4.3,+1.7,38,68,27,4,89,Matches
Weston McKennie\01c3aff5,us USA,MF,23-219,21.7,594,754,78.8,10237,2597,317,375,84.5,197,253,77.9,65,85,76.5,0,1.5,-1.5,24,48,13,2,48,Matches
Rodrigo Bentancur\3b8674e6,uy URU,MF,24-303,17.6,829,959,86.4,15216,3426,340,371,91.6,379,424,89.4,94,125,75.2,2,0.7,+1.3,12,91,8,0,70,Matches
Mattia De Sciglio\ae4e2852,it ITA,DF,29-166,17.2,567,705,80.4,10780,3774,239,271,88.2,250,290,86.2,73,116,62.9,2,2.2,-0.2,23,32,22,18,38,Matches
Federico Bernardeschi\ee93c1a9,it ITA,FWMF,28-047,16.4,473,607,77.9,8510,2009,225,255,88.2,184,213,86.4,54,105,51.4,5,3.1,+1.9,25,32,25,7,52,Matches
Arthur Melo\48b3dd60,br BRA,MF,25-235,14.9,806,880,91.6,16611,3489,273,303,90.1,395,412,95.9,132,144,91.7,1,0.5,-0.5,8,88,6,0,66,Matches
Giorgio Chiellini\e85fb9b8,it ITA,DF,37-233,13.8,591,696,84.9,13238,4273,143,155,92.3,319,359,88.9,121,168,72.0,0,0.1,-0.1,3,52,1,0,40,Matches
Federico Chiesa\b0f7e36c,it ITA,MFFW,24-161,13.3,298,384,77.6,5752,1713,132,157,84.1,107,131,81.7,46,73,63.0,1,1.3,-0.3,20,17,16,7,39,Matches
Moise Kean\3d50bcdb,it ITA,FW,22-035,12.3,169,230,73.5,2492,240,98,127,77.2,50,61,82.0,13,21,61.9,0,0.3,-0.3,6,5,3,1,5,Matches
Daniele Rugani\14b8fcdf,it ITA,DF,27-249,12.0,523,568,92.1,10960,3106,148,154,96.1,292,309,94.5,83,103,80.6,0,0.0,0.0,1,33,0,0,22,Matches
Dušan Vlahović\79443529,rs SRB,FW,22-066,11.0,116,174,66.7,2119,289,60,86,69.8,33,47,70.2,19,28,67.9,1,0.9,+0.1,3,4,6,0,9,Matches
Dejan Kulusevski\df3cda47,se SWE,FWMF,21-344,11.0,213,265,80.4,3228,722,117,148,79.1,73,81,90.1,15,19,78.9,3,1.9,+1.1,13,11,15,3,25,Matches
Luca Pellegrini\3b61c9ec,it ITA,DF,23-028,10.7,435,578,75.3,8134,3041,189,219,86.3,188,226,83.2,56,115,48.7,1,1.2,-0.2,11,31,13,7,27,Matches
Mattia Perin\4c62d0c8,it ITA,GK,29-145,8.3,85,107,79.4,2233,1013,20,20,100.0,38,39,97.4,27,48,56.3,0,0.0,0.0,0,1,0,0,0,Matches
Denis Zakaria\384d58d9,ch SUI,MF,25-135,3.7,44,56,78.6,779,303,16,18,88.9,21,28,75.0,5,6,83.3,0,0.1,-0.1,1,4,2,1,7,Matches
Kaio Jorge\0cf465f2,br BRA,MFFW,20-070,1.5,29,38,76.3,502,61,16,20,80.0,8,12,66.7,5,5,100.0,0,0.3,-0.3,2,2,0,0,1,Matches
Aaron Ramsey\ef619b0b,wls WAL,MF,31-099,1.3,83,90,92.2,1670,360,33,36,91.7,33,35,94.3,17,19,89.5,0,0.1,-0.1,2,9,0,0,5,Matches
Koni De Winter\f4797849,be BEL,DF,19-296,0.9,74,82,90.2,1089,264,41,46,89.1,28,30,93.3,4,5,80.0,0,0.0,0.0,0,0,0,0,3,Matches
Marley Aké\414e1f69,fr FRA,FW,21-089,0.7,4,4,100.0,74,23,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,1,1,0,Matches
Cristiano Ronaldo\dea698d9,pt POR,FW,37-058,0.3,9,12,75.0,114,14,8,10,80.0,1,2,50.0,0,0,,0,0.0,0.0,1,0,0,0,0,Matches
Matìas Soulé\c13ddd3e,ar ARG,FW,18-354,0.1,7,7,100.0,139,22,2,2,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0,3,0,0,1,Matches
Fabio Miretti\34693494,it ITA,MF,18-244,0.0,5,5,100.0,92,21,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1,Matches
Cosimo Marco Da Graca\32f76907,it ITA,FW,19-338,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
