Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Wojciech Szczęsny\01b8a2b2,pl POL,GK,31-351,35.0,1082,966,1077,10,0,0,836,1,1,100.0,1,0,544,2327,1062,0,0,0,0,0,569,569,100.0,0,Matches
Matthijs de Ligt\d6e53a3a,nl NED,DF,22-235,34.2,2013,316,995,1046,98,37,1966,5,8,62.5,6,0,1333,6667,2990,86,16,1,2,1,1419,1404,98.9,3,Matches
Juan Cuadrado\0ab1f153,co COL,DFMF,33-313,31.6,2226,76,562,1111,716,78,2018,43,67,64.2,46,0,1552,7416,4640,213,65,30,35,32,1724,1572,91.2,97,Matches
Manuel Locatelli\a8a874f1,it ITA,MF,24-086,31.6,2010,115,555,1178,366,30,1946,18,23,78.3,18,2,1362,4826,2168,74,27,4,20,21,1518,1448,95.4,45,Matches
Álvaro Morata\129af0db,es ESP,FW,29-163,30.5,1089,28,142,515,519,157,1068,22,46,47.8,28,8,752,4095,2511,121,49,29,77,49,1235,836,67.7,202,Matches
Adrien Rabiot\8794e251,fr FRA,MF,27-001,29.2,1392,82,362,770,366,55,1363,23,35,65.7,26,0,920,6079,2940,127,48,13,29,36,1049,918,87.5,60,Matches
Alex Sandro\0d82903c,br BRA,DF,31-068,25.3,1492,97,505,714,394,50,1343,10,21,47.6,12,5,971,5803,3393,146,50,13,15,29,1054,994,94.3,41,Matches
Leonardo Bonucci\52ec54d0,it ITA,DF,34-338,24.3,1599,312,845,773,48,19,1519,3,7,42.9,3,1,942,3907,1921,32,5,0,2,1,1157,1131,97.8,2,Matches
Danilo\94b2001f,br BRA,DFMF,30-263,23.7,1670,124,586,947,214,14,1522,5,13,38.5,6,1,1079,4087,2263,79,22,2,7,9,1168,1144,97.9,15,Matches
Paulo Dybala\e0921a4f,ar ARG,FWMF,28-140,22.4,1340,6,131,687,612,93,1244,34,57,59.6,37,2,962,4462,2045,112,30,19,49,32,1234,1025,83.1,161,Matches
Weston McKennie\01c3aff5,us USA,MF,23-219,21.7,986,40,217,471,351,70,938,11,22,50.0,14,2,551,2562,1474,78,24,9,28,29,806,653,81.0,118,Matches
Rodrigo Bentancur\3b8674e6,uy URU,MF,24-303,17.6,1144,42,233,745,241,22,1133,5,11,45.5,7,1,827,3801,1784,66,28,4,17,28,866,809,93.4,41,Matches
Mattia De Sciglio\ae4e2852,it ITA,DF,29-166,17.2,831,35,266,382,234,18,724,10,22,45.5,11,0,513,2427,1266,54,17,6,7,6,535,500,93.5,34,Matches
Federico Bernardeschi\ee93c1a9,it ITA,FWMF,28-047,16.4,786,22,123,374,376,50,737,28,54,51.9,35,2,610,3786,1828,97,38,20,24,25,690,569,82.5,74,Matches
Arthur Melo\48b3dd60,br BRA,MF,25-235,14.9,980,42,240,663,147,9,952,8,12,66.7,9,0,757,4259,1869,69,13,0,10,6,765,740,96.7,13,Matches
Giorgio Chiellini\e85fb9b8,it ITA,DF,37-233,13.8,814,114,397,419,46,5,789,1,1,100.0,1,0,469,2651,1534,44,13,0,5,0,571,561,98.2,0,Matches
Federico Chiesa\b0f7e36c,it ITA,MFFW,24-161,13.3,584,12,93,233,317,72,541,31,47,66.0,34,2,427,2808,1879,78,29,17,24,33,545,391,71.7,78,Matches
Moise Kean\3d50bcdb,it ITA,FW,22-035,12.3,362,6,44,174,171,59,356,17,28,60.7,19,2,233,1071,538,27,7,12,37,23,471,276,58.6,77,Matches
Daniele Rugani\14b8fcdf,it ITA,DF,27-249,12.0,645,103,302,355,28,9,631,1,1,100.0,1,0,448,1854,873,16,3,0,1,2,492,487,99.0,0,Matches
Dušan Vlahović\79443529,rs SRB,FW,22-066,11.0,285,2,10,139,148,55,275,7,15,46.7,7,0,215,912,390,24,4,2,33,21,383,234,61.1,92,Matches
Dejan Kulusevski\df3cda47,se SWE,FWMF,21-344,11.0,427,7,69,183,217,55,422,12,30,40.0,15,0,325,1784,1018,40,16,4,29,36,429,293,68.3,80,Matches
Luca Pellegrini\3b61c9ec,it ITA,DF,23-028,10.7,690,35,234,293,189,10,594,11,18,61.1,11,4,447,1662,932,46,9,1,7,16,471,438,93.0,13,Matches
Mattia Perin\4c62d0c8,it ITA,GK,29-145,8.3,111,101,111,0,0,0,80,0,0,,0,0,55,178,88,0,0,0,0,0,54,53,98.1,0,Matches
Denis Zakaria\384d58d9,ch SUI,MF,25-135,3.7,81,4,22,48,19,2,80,1,1,100.0,1,0,53,353,179,11,4,1,4,3,62,47,75.8,4,Matches
Kaio Jorge\0cf465f2,br BRA,MFFW,20-070,1.5,62,2,8,26,31,10,62,1,2,50.0,1,0,42,140,32,3,1,1,5,3,85,49,57.6,17,Matches
Aaron Ramsey\ef619b0b,wls WAL,MF,31-099,1.3,95,4,23,51,25,2,91,1,1,100.0,1,0,69,282,102,5,2,0,1,1,83,81,97.6,2,Matches
Koni De Winter\f4797849,be BEL,DF,19-296,0.9,87,0,24,49,21,1,77,1,2,50.0,1,0,68,390,199,6,2,1,0,1,65,62,95.4,0,Matches
Marley Aké\414e1f69,fr FRA,FW,21-089,0.7,5,0,1,1,4,0,5,0,0,,0,0,4,6,2,0,0,0,0,1,4,4,100.0,1,Matches
