Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2021-08-22,18:30,Serie A,Matchweek 1,Sun,Away,D,2,2,Udinese,480,551,87.1,9916,2769,169,192,88.0,229,238,96.2,77,105,73.3,2,0.7,8,26,4,1,29,Match Report
2021-08-28,20:45,Serie A,Matchweek 2,Sat,Home,L,0,1,Empoli,377,461,81.8,8098,2746,134,152,88.2,154,173,89.0,81,120,67.5,0,1.3,15,47,13,2,40,Match Report
2021-09-11,18:00,Serie A,Matchweek 3,Sat,Away,L,1,2,Napoli,264,330,80.0,4968,1885,124,142,87.3,101,113,89.4,36,62,58.1,0,0.5,5,16,2,1,15,Match Report
2021-09-14,21:00,Champions Lg,Group stage,Tue,Away,W,3,0,se Malmö,585,666,87.8,11455,3147,236,258,91.5,258,281,91.8,84,114,73.7,1,1.9,14,44,15,4,37,Match Report
2021-09-19,20:45,Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,343,413,83.1,7561,2779,123,140,87.9,143,161,88.8,74,101,73.3,1,1.0,9,23,4,2,22,Match Report
2021-09-22,18:30,Serie A,Matchweek 5,Wed,Away,W,3,2,Spezia,458,548,83.6,9847,3299,160,184,87.0,198,219,90.4,93,128,72.7,1,1.8,20,40,12,5,37,Match Report
2021-09-26,12:30,Serie A,Matchweek 6,Sun,Home,W,3,2,Sampdoria,387,478,81.0,8030,2373,143,159,89.9,172,195,88.2,70,111,63.1,2,1.6,13,33,8,3,28,Match Report
2021-09-29,21:00,Champions Lg,Group stage,Wed,Home,W,1,0,eng Chelsea,236,320,73.8,4750,1736,102,116,87.9,92,113,81.4,40,78,51.3,1,0.8,4,8,4,0,15,Match Report
2021-10-02,18:00,Serie A,Matchweek 7,Sat,Away,W,1,0,Torino,386,488,79.1,7875,2628,123,145,84.8,183,214,85.5,66,103,64.1,1,0.6,8,22,6,2,25,Match Report
2021-10-17,20:45,Serie A,Matchweek 8,Sun,Home,W,1,0,Roma,426,505,84.4,8991,2606,144,161,89.4,197,216,91.2,78,114,68.4,0,0.2,5,32,5,3,30,Match Report
2021-10-20,22:00 (21:00),Champions Lg,Group stage,Wed,Away,W,1,0,ru Zenit,522,611,85.4,11174,2748,178,199,89.4,236,264,89.4,103,133,77.4,1,1.1,9,45,11,4,36,Match Report
