Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Wojciech Szczęsny\01b8a2b2,pl POL,GK,31-352,35,35,3150,35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Matthijs de Ligt\d6e53a3a,nl NED,DF,22-236,35,34,3078,34.2,2,0,2,0,0,5,1,0.06,0.00,0.06,0.06,0.06,1.4,1.4,0.3,1.7,0.04,0.01,0.05,0.04,0.05,Matches
Juan Cuadrado\0ab1f153,co COL,DFMF,33-314,39,31,2844,31.6,5,2,5,0,0,9,0,0.16,0.06,0.22,0.16,0.22,2.1,2.1,5.5,7.6,0.07,0.19,0.26,0.07,0.26,Matches
Manuel Locatelli\a8a874f1,it ITA,MF,24-087,40,31,2843,31.6,3,4,3,0,0,7,0,0.09,0.13,0.22,0.09,0.22,2.4,2.4,2.3,4.7,0.08,0.08,0.17,0.08,0.17,Matches
Álvaro Morata\129af0db,es ESP,FW,29-164,41,30,2743,30.5,11,2,9,2,2,5,0,0.36,0.07,0.43,0.30,0.36,9.5,8.8,5.9,14.7,0.34,0.21,0.55,0.31,0.52,Matches
Adrien Rabiot\8794e251,fr FRA,MF,27-002,37,31,2626,29.2,0,2,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,1.4,1.4,0.9,2.4,0.06,0.04,0.09,0.06,0.09,Matches
Alex Sandro\0d82903c,br BRA,DF,31-069,32,24,2281,25.3,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,1.2,1.2,1.3,2.5,0.05,0.06,0.11,0.05,0.11,Matches
Leonardo Bonucci\52ec54d0,it ITA,DF,34-339,25,24,2187,24.3,3,0,0,3,3,1,0,0.12,0.00,0.12,0.00,0.00,3.8,1.6,0.5,2.1,0.16,0.02,0.19,0.07,0.09,Matches
Danilo\94b2001f,br BRA,DFMF,30-264,25,25,2133,23.7,1,2,1,0,0,6,0,0.04,0.08,0.13,0.04,0.13,0.4,0.4,0.9,1.3,0.02,0.04,0.06,0.02,0.06,Matches
Paulo Dybala\e0921a4f,ar ARG,FWMF,28-141,30,24,2013,22.4,13,6,10,3,4,3,0,0.58,0.27,0.85,0.45,0.72,9.4,6.3,4.5,10.8,0.46,0.22,0.67,0.31,0.52,Matches
Weston McKennie\01c3aff5,us USA,MF,23-220,28,21,1953,21.7,4,0,4,0,0,1,0,0.18,0.00,0.18,0.18,0.18,3.5,3.5,1.5,4.9,0.18,0.08,0.25,0.18,0.25,Matches
Rodrigo Bentancur\3b8674e6,uy URU,MF,24-304,26,18,1580,17.6,0,2,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,0.7,1.2,0.03,0.04,0.07,0.03,0.07,Matches
Mattia De Sciglio\ae4e2852,it ITA,DF,29-167,25,17,1550,17.2,1,2,1,0,0,2,0,0.06,0.12,0.17,0.06,0.17,0.2,0.2,2.3,2.5,0.02,0.18,0.19,0.02,0.19,Matches
